word,type,label
가련하다,감정,동정
가엾다,감정,동정
간절하다,감정,욕구
감개무량하다,감정,기쁨
감격스럽다,감정,기쁨
감동스럽다,감정,감동
감탄스럽다,감정,놀람
갑갑궁금하다,감정,욕구
개운하다,감정,상쾌함
개탄스럽다,감정,슬픔
거북스럽다,감정,혐오
거북하다,감정,혐오
걱정스럽다,감정,고뇌
겁나다,감정,두려움
겸연쩍다,감정,수치심
경멸스럽다,감정,혐오
경악스럽다,감정,놀람
고깝다,감정,혐오
고독하다,감정,고독
고맙다,감정,감사
고무되다,감정,감동
고민스럽다,감정,고뇌
고소하다,감정,기쁨
고통스럽다,감정,고뇌
곤란하다,감정,고뇌
곤혹스럽다,감정,고뇌
골나다,감정,분노
공포스럽다,감정,두려움
괘씸하다,감정,혐오
괴롭다,감정,고뇌
굴욕스럽다,감정,수치심
궁금하다,감정,욕구
권태롭다,감정,고독
그립다,감정,욕구
근심스럽다,감정,고뇌
기껍다,감정,기쁨
기쁘다,감정,기쁨
꺼림칙하다,감정,혐오
께름칙하다,감정,혐오
께름하다,감정,혐오
난감하다,감정,고뇌
난처하다,감정,고뇌
남부끄럽다,감정,수치심
남부럽다,감정,욕구
노엽다,감정,분노
달갑다,감정,수용
담담하다,감정,이완
당혹스럽다,감정,놀람
당황스럽다,감정,놀람
대견스럽다,감정,수용
대견하다,감정,수용
덤덤하다,감정,이완
두렵다,감정,두려움
뒤숭숭하다,감정,고뇌
들뜨다,감정,기쁨
딱하다,감정,동정
뜨악하다,감정,혐오
만족스럽다,감정,수용
망극하다,감정,슬픔
망신스럽다,감정,수치심
매료되다,감정,수용
머쓱하다,감정,수치심
멋쩍다,감정,수치심
면목없다,감정,수치심
모멸스럽다,감정,수치심
모욕스럽다,감정,수치심
무감동하다,감정,이완
무덤덤하다,감정,이완
무료하다,감정,고독
무섭다,감정,두려움
무안스럽다,감정,수치심
무안하다,감정,수치심
물리다,감정,혐오
미안스럽다,감정,미안함
미안하다,감정,미안함
민망스럽다,감정,수치심
민망하다,감정,수치심
밉다,감정,혐오
반갑다,감정,수용
보람차다,감정,기쁨
부끄럽다,감정,수치심
부담스럽다,감정,혐오
부럽다,감정,욕구
분통터지다,감정,분노
분하다,감정,분노
불길하다,감정,두려움
불만스럽다,감정,혐오
불만족스럽다,감정,혐오
불만족하다,감정,혐오
불쌍하다,감정,동정
불안스럽다,감정,고뇌
불안하다,감정,고뇌
불유쾌하다,감정,혐오
불쾌스럽다,감정,혐오
불쾌하다,감정,혐오
불행하다,감정,슬픔
비련하다,감정,동정
비분하다,감정,분노
비참하다,감정,수치심
비통하다,감정,슬픔
뿌듯하다,감정,기쁨
살맛나다,감정,기쁨
상쾌하다,감정,상쾌함
샘나다,감정,욕구
서글프다,감정,슬픔
서럽다,감정,슬픔
서운하다,감정,혐오
설레다,감정,수용
섬뜩하다,감정,두려움
섭섭하다,감정,혐오
섭하다,감정,혐오
성나다,감정,분노
성질나다,감정,분노
속상하다,감정,혐오
속시원하다,감정,기쁨
속썩다,감정,고뇌
속타다,감정,고뇌
송구스럽다,감정,미안함
송구하다,감정,미안함
수치스럽다,감정,수치심
슬프다,감정,슬픔
시름겹다,감정,고뇌
시름없다,감정,고뇌
시원섭섭하다,감정,복합감정
시틋하다,감정,혐오
신경질나다,감정,분노
신나다,감정,기쁨
신명나다,감정,기쁨
신바람나다,감정,기쁨
실망스럽다,감정,혐오
싫다,감정,혐오
싫증나다,감정,혐오
