word,stem_group,type
가뿐하다,0,원형
가뿐해지다,0,지다
가뿐해하다,0,-어 하다
가소롭다,1,원형
가소로워지다,1,지다
가소로워하다,1,-어 하다
가엾다,2,원형
가여워지다,2,지다
가여워하다,2,-어 하다
가증스럽다,3,원형
가증스러워지다,3,지다
가증스러워하다,3,-어 하다
가책하다,4,원형
가책되다,4,명사+기타
가책받다,4,명사+기타
간원하다,5,원형
간절하다,6,원형
간절해지다,6,지다
간절해하다,6,-어 하다
갈등하다,7,원형
갈등되다,7,명사+기타
갈등일다,7,명사+기타
갈망하다,8,원형
갈망되다,8,명사+기타
감개무량하다,9,원형
감개무량해지다,9,지다
감개무량해하다,9,-어 하다
감격스럽다,10,원형
감격스러워지다,10,지다
감격스러워하다,10,-어 하다
감격하다,11,원형
감격해지다,11,지다
감격되다,11,명사+기타
감동스럽다,12,원형
감동스러워지다,12,지다
감동스러워하다,12,-어 하다
감동하다,13,원형
감동되다,13,명사+기타
감미롭다,14,원형
감미로워지다,14,지다
감미로워하다,14,-어 하다
감복하다,15,원형
감복되다,15,명사+기타
감사하다,16,원형
감사해지다,16,지다
감사해하다,16,-어 하다
감탄스럽다,17,원형
감탄스러워지다,17,지다
감탄스러워하다,17,-어 하다
감탄하다,18,원형
감탄되다,18,명사+기타
갑갑하다,19,원형
갑갑해지다,19,지다
갑갑해하다,19,-어 하다
같잖다,20,원형
같잖아지다,20,지다
같잖아하다,20,-어 하다
개운하다,21,원형
개운해지다,21,지다
개운해하다,21,-어 하다
개탄스럽다,22,원형
개탄스러워지다,22,지다
개탄스러워하다,22,-어 하다
개탄하다,23,원형
개탄되다,23,명사+기타
거북스럽다,24,원형
거북스러워지다,24,지다
거북스러워하다,24,-어 하다
거북하다,25,원형
거북해지다,25,지다
거북해하다,25,-어 하다
걱정스럽다,26,원형
걱정스러워지다,26,지다
걱정스러워하다,26,-어 하다
걱정하다,27,원형
걱정되다,27,명사+기타
걸근거리다,28,원형
걸근거려지다,28,지다
걸근거려하다,28,-어 하다
걸리다,29,원형
걸려하다,29,-어 하다
겁나다,30,원형
겁내다,30,명사+기타
격노하다,31,원형
격분하다,32,원형
격분되다,32,명사+기타
격앙하다,33,원형
격앙되다,33,명사+기타
격하다,34,원형
격해지다,34,지다
겸연쩍다,35,원형
겸연쩍어지다,35,지다
겸연쩍어하다,35,-어 하다
경멸스럽다,36,원형
경멸스러워지다,36,지다
경멸스러워하다,36,-어 하다
경멸하다,37,원형
경악스럽다,38,원형
경악스러워지다,38,지다
경악스러워하다,38,-어 하다
경악하다,39,원형
경탄하다,40,원형
고뇌하다,41,원형
고독하다,42,원형
고독해지다,42,지다
고독해하다,42,-어 하다
고루하다,43,원형
고루해지다,43,지다
고루해하다,43,-어 하다
고리타분하다,44,원형
고리타분해지다,44,지다
고리타분해하다,44,-어 하다
고립되다,45,원형
고립돼지다,45,지다
고맙다,46,원형
고마워지다,46,지다
고마워하다,46,-어 하다
고무되다,47,원형
고무돼지다,47,지다
고민스럽다,48,원형
고민스러워지다,48,지다
고민스러워하다,48,-어 하다
고민하다,49,원형
고민되다,49,명사+기타
고적하다,50,원형
고적해지다,50,지다
고적해하다,50,-어 하다
고통스럽다,51,원형
고통스러워지다,51,지다
고통스러워하다,51,-어 하다
고통되다,51,명사+기타
고통받다,51,명사+기타
곤란하다,52,원형
곤란해지다,52,지다
곤란해하다,52,-어 하다
골나다,53,원형
골나하다,53,-어 하다
골내다,53,명사+기타
공감하다,54,원형
공감되다,54,명사+기타
공감가다,54,명사+기타
공포스럽다,55,원형
공포스러워지다,55,지다
공포스러워하다,55,-어 하다
공허하다,56,원형
공허해지다,56,지다
공허해하다,56,-어 하다
괘씸하다,57,원형
괘씸해지다,57,지다
괘씸해하다,57,-어 하다
괴롭다,58,원형
괴로워지다,58,지다
괴로워하다,58,-어 하다
교감하다,59,원형
교감되다,59,명사+기타
구슬프다,60,원형
구슬퍼지다,60,지다
구슬퍼하다,60,-어 하다
구역질나다,61,원형
굴욕스럽다,62,원형
굴욕스러워지다,62,지다
굴욕스러워하다,62,-어 하다
궁금하다,63,원형
궁금해지다,63,지다
궁금해하다,63,-어 하다
권태롭다,64,원형
권태로워지다,64,지다
권태로워하다,64,-어 하다
귀엽다,65,원형
귀여워지다,65,지다
귀여워하다,65,-어 하다
귀찮다,66,원형
귀찮아지다,66,지다
귀찮아하다,66,-어 하다
기겁하다,67,원형
